seed,sheet_name,variant,mae,rmse,mape,smape,directional_accuracy,roi_proxy,n_obs
11,1guy,V0,0.0046827180270675025,0.00468919875573867,62.426064406866686,90.77861580906783,1.0,0.02252279839976992,13
11,1guy,V1,0.007496119999999999,0.007500096750382112,100.0,200.0,1.0,0.02252279839976992,13
11,1guy,V2,0.0003391509695758579,0.00041767516022628287,4.639906023752909,4.477169488459129,0.23076923076923078,-0.010571530718460988,13
11,1guy,V3a,0.0003793000000000009,0.00045111495285825813,5.176287047733866,4.987843623690838,0.23076923076923078,-0.010571530718460988,13
11,1guy,V3b,0.0003391509695758579,0.00041767516022628287,4.639906023752909,4.477169488459129,0.23076923076923078,-0.010571530718460988,13
11,1squirrel,V0,0.004214912093918655,0.004215232529097579,982.9643958323774,165.82308066826997,0.09090909090909091,-0.1316060214937965,11
11,1squirrel,V1,0.005442937393426154,0.005669297069219093,1268.8846873802352,176.79061457604584,0.18181818181818182,-0.1221301422781731,11
11,1squirrel,V2,0.0005250741909987217,0.0005266717325798082,123.32313673594473,75.6426618229515,0.09090909090909091,-0.1316060214937965,11
11,1squirrel,V3a,0.0004226886363636363,0.0004254203792907776,99.7044187587795,65.78457688735129,0.09090909090909091,-0.1316060214937965,11
11,1squirrel,V3b,0.0004226886363636363,0.0004254203792907776,99.7044187587795,65.78457688735129,0.09090909090909091,-0.1316060214937965,11
11,6,V0,0.01568130803241648,0.016693297763422474,61.38468642830279,44.73219083717934,0.5,0.1962229593599163,8
11,6,V1,0.028326962499999997,0.028861940659868145,100.0,200.0,0.5,-0.1962229593599163,8
11,6,V2,0.014306283502517024,0.017261658377560794,58.64757368681535,40.47449556352579,0.5,0.1962229593599163,8
11,6,V3a,0.014835037499999999,0.015832660919875407,58.160090718338274,42.9177641920763,0.5,0.1962229593599163,8
11,6,V3b,0.014306283502517024,0.017261658377560794,58.64757368681535,40.47449556352579,0.5,0.1962229593599163,8
11,horny,V0,0.0035070712482881457,0.0035094964496771345,514.719559173288,142.6580691483468,0.25,-0.20596498842665473,8
11,horny,V1,0.0069360875,0.010679733689218334,874.5136920665843,193.59856814659787,0.875,0.1876137387754957,8
11,horny,V2,0.0012957762142164519,0.001356756542823729,197.88649254207294,94.02664298495476,0.25,-0.20596498842665473,8
11,horny,V3a,0.0010312762500000001,0.0010392665500366114,153.71705635295828,85.00127812448372,0.25,-0.20596498842665473,8
11,horny,V3b,0.0012957762142164519,0.001356756542823729,197.88649254207294,94.02664298495476,0.25,-0.20596498842665473,8
11,ilence,V0,0.005249700954241305,0.005249707236675688,18839.50326493773,197.78362499305197,0.18181818181818182,-0.1631373564215911,11
