sheet_name,rows_before_filtering,rows_after_filtering,non_null_dates
1guy,86,80,80
1squirrel,70,70,70
360noscope420blazeit,86,84,84
5,76,76,76
6,55,55,55
888token,86,84,84
abi,86,85,85
achi,79,78,78
acidtoad,86,21,21
adillo,43,43,43
agentaigo,62,46,46
agenttank,53,53,53
ai16z,86,85,85
ai16zeliza,46,46,46
aicrystalnode,86,85,85
aiinu,86,84,84
aimerica,45,45,45
aimonicabrands,56,56,56
aishellnova,36,36,36
aitraderagent,33,33,33
aiwarpertoken,70,69,69
aiwithdaddyissues,86,85,85
akiprotocol,86,85,85
akitabsc,43,43,43
alaska,83,81,81
alchemistai,62,62,62
alp,83,81,81
alpaca2,78,77,77
alpha3,86,81,81
amaterasuomikami,86,85,85
americancoin,86,85,85
americapac,84,82,82
analos,86,85,85
andy70b,45,45,45
andyman,86,84,84
anitamaxwynn,83,81,81
antitoken,33,33,33
anyinu,86,85,85
aped,71,71,71
aquarius2,76,75,75
aquathecoin,85,82,82
arbdogeai,54,0,0
arbidoge,83,80,80
aries,76,75,75
ariethesealion,77,77,77
astheria,45,45,45
astropepex,86,85,85
auraonsol,86,84,84
auroraterminal,77,77,77
autism2,86,85,85
autonomousvirtualbeings,86,85,85
avaai,69,69,69
avachiangmainightsafariava,70,70,70
avaxhasnochill,86,85,85
avocato,78,77,77
axi,46,46,46
babybitcoin2,83,81,81
babybnb,86,85,85
babybonk,86,0,0
babydragonx,86,80,80
babygrok,86,0,0
babyneiro2,86,0,0
babyneirotoken,86,84,84
babypepe3,45,45,45
babypnut2,71,1,1
babyshironeko,64,64,64
babywen,86,85,85
badcatsol,78,77,77
badideaai,86,85,85
ballsoffate,86,83,83
bananacat,86,84,84
bananaforscale,70,70,70
bananaforscale2,61,61,61
bananatapewall,86,85,85
barbiecrashbandicootrfk88,86,0,0
based,86,83,83
basktfun,73,73,73
beercoin2,86,85,85
believeinsomething,86,83,83
believeinsomething2,83,81,81
belikeblob,75,75,75
benthedog,86,85,85
bertramthepomeranian,84,82,82
beth,40,40,40
betmore,86,83,83
biaoonsol,62,62,62
biaoqing,86,84,84
big,57,49,49
bigcheungus,75,74,74
bigdogfink,78,78,78
bigjim,39,39,39
bigpharmai,49,49,49
billiondollarcatrunes,46,46,46
billy,86,85,85
bingusthecat,86,85,85
birddog,86,84,84
bitbonk,86,83,83
bitcat2,86,85,85
bitcat3,78,78,78
bitcoinact,78,78,78
blackagnus,64,63,63
blackunicorncorp,33,33,33
blinkdotfun,48,48,48
blinksgg,86,84,84
blk2100,86,72,72
blobanapet,76,75,75
bloomspergterminal,75,75,75
bobacat,86,84,84
bobaoppa,86,85,85
boblles,66,65,65
bobocoin,38,38,38
bobthesnek,84,82,82
bobtoken,86,85,85
bog,86,13,13
bogus,85,79,79
bongocat,86,85,85
bonsaitoken,73,73,73
booji,40,40,40
boop2,86,84,84
boop3,81,80,80
bopcat,85,83,83
bozohybrid,86,83,83
brainlet2,86,85,85
brainrot,86,84,84
brettmemecoin,62,62,62
brot,58,58,58
brothecat,86,85,85
bueno,78,76,76
buildonbnb,74,66,66
burnedfi,86,84,84
buttholecoin,35,35,35
buu,86,85,85
byte,86,84,84
cancer,76,76,76
capricorn2,76,75,75
carloacutis,70,70,70
cas9,33,33,33
catalorian,86,85,85
catana,86,85,85
catcoincash,86,0,0
catdog,86,84,84
catecoin,86,85,85
catex,86,83,83
catgirl,86,83,83
catownkimono,86,84,84
