sheet_name,rows,token,ticker,first_date,last_date,valid_schema,missing_required_columns,valid_date_count,date_parse_rate
1guy,86,1GUY,1guy,2024-11-11T00:00:00,2025-02-02T00:00:00,True,,86,1.0
1squirrel,70,#1 Squirrel,peanut,2024-11-27T00:00:00,2025-02-04T00:00:00,True,,70,1.0
360noscope420blazeit,86,360noscope420blazeit,mlg,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
5,76,??,??,2024-11-21T00:00:00,2025-02-04T00:00:00,True,,76,1.0
6,55,"""　""","""　""",2024-12-12T00:00:00,2025-02-04T00:00:00,True,,55,1.0
888token,86,888,888,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
a16gems,9,a16gems,a16g,2025-01-27T00:00:00,2025-02-04T00:00:00,True,,9,1.0
aaacat,86,aaacat,,,,True,,0,0.0
aavegotchi,23,Aavegotchi,ghst,2025-01-13T00:00:00,2025-02-04T00:00:00,True,,23,1.0
abi,86,Abi,abi,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
achi,79,achi,achi,2024-11-18T00:00:00,2025-02-04T00:00:00,True,,79,1.0
acidtoad,86,Acid Toad,toad,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
actual,2,actual,,,,True,,0,0.0
adillo,43,Adillo,adillo,2024-12-24T00:00:00,2025-02-04T00:00:00,True,,43,1.0
aerobud,83,aerobud,,,,True,,0,0.0
aethernet,16,aethernet,,,,True,,0,0.0
agenda47,4,AGENDA 47,a47,2025-02-01T00:00:00,2025-02-04T00:00:00,True,,4,1.0
agentaigo,62,AgentAIgo,agent,2024-12-21T00:00:00,2025-02-04T00:00:00,True,,46,0.7419354838709677
agents,40,agents,,,,True,,0,0.0
agenttank,53,AgentTank,tank,2024-12-14T00:00:00,2025-02-04T00:00:00,True,,53,1.0
agentzero,77,agentzero,,,,True,,0,0.0
ahatoken,81,ahatoken,,,,True,,0,0.0
ai16z,86,ai16z,ai16z,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
ai16zeliza,46,ai16zeliza,eliza,2024-12-21T00:00:00,2025-02-04T00:00:00,True,,46,1.0
aicrostrategy,38,aicrostrategy,,,,True,,0,0.0
aicrystalnode,86,AI Crystal Node,aicrynode,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
aida,25,aida,,,,True,,0,0.0
aiinu,86,AI INU,aiinu,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
aimerica,45,AIMERICA,uai,2024-12-22T00:00:00,2025-02-04T00:00:00,True,,45,1.0
aimonicabrands,56,Aimonica Brands,aimonica,2024-12-11T00:00:00,2025-02-04T00:00:00,True,,56,1.0
aintivirus2,7,AIntivirus,ainti,2025-01-29T00:00:00,2025-02-04T00:00:00,True,,7,1.0
airene,84,airene,,,,True,,0,0.0
aishellnova,36,AI Shell NOVA,nova,2024-12-31T00:00:00,2025-02-04T00:00:00,True,,36,1.0
aitraderagent,33,AI Trader Agent,ait,2025-01-03T00:00:00,2025-02-04T00:00:00,True,,33,1.0
aiwarpertoken,70,AIWarper Token,warper,2024-11-26T00:00:00,2025-02-04T00:00:00,True,,70,1.0
aiwithdaddyissues,86,Aiwithdaddyissues,shegen,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
aiws,21,aiws,,,,True,,0,0.0
akiprotocol,86,Aki Network,aki,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
akitabsc,43,AKITA-BSC,akita,2024-12-24T00:00:00,2025-02-04T00:00:00,True,,43,1.0
akumainu,67,akumainu,,,,True,,0,0.0
alaska,83,Alaska,alaska,2024-11-15T00:00:00,2025-02-04T00:00:00,True,,83,1.0
alchemistai,62,Alchemist AI,alch,2024-12-05T00:00:00,2025-02-04T00:00:00,True,,62,1.0
allwillretire,13,All Will Retire,awr,2025-01-23T00:00:00,2025-02-04T00:00:00,True,,13,1.0
allyourbase2,86,allyourbase2,,,,True,,0,0.0
alp,83,ALP,alp,2024-11-15T00:00:00,2025-02-04T00:00:00,True,,83,1.0
alpaca2,78,Alpaca,alpaca,2024-11-19T00:00:00,2025-02-04T00:00:00,True,,78,1.0
alpha3,86,Alpha,alpha,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
amaterasuomikami,86,AMATERASU OMIKAMI,omikami,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
americancoin,86,American Coin,usa,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
americapac,84,America Pac,pac,2024-11-13T00:00:00,2025-02-04T00:00:00,True,,84,1.0
amocucinare,65,amocucinare,,,,True,,0,0.0
analos,86,analoS,analos,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
andy4,28,ANDY,andy,2025-01-08T00:00:00,2025-02-04T00:00:00,True,,28,1.0
andy70b,45,ANDY70B,andy70b,2024-12-22T00:00:00,2025-02-04T00:00:00,True,,45,1.0
andyerc,86,andyerc,,,,True,,0,0.0
andyman,86,Andyman,andyman,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
andyonbase,86,andyonbase,,,,True,,0,0.0
anitamaxwynn,83,Anita Max Wynn,wynn,2024-11-15T00:00:00,2025-02-04T00:00:00,True,,83,1.0
antitoken,33,Antitoken,anti,2025-01-03T00:00:00,2025-02-04T00:00:00,True,,33,1.0
anyinu,86,Any Inu,ai,2024-11-11T00:00:00,2025-02-04T00:00:00,True,,86,1.0
aped,71,Aped,aped,2024-11-26T00:00:00,2025-02-04T00:00:00,True,,71,1.0
aquarius2,76,Aquarius,aquarius,2024-11-21T00:00:00,2025-02-04T00:00:00,True,,76,1.0
aquathecoin,85,Aquathecoin,aqua,2024-11-12T00:00:00,2025-02-04T00:00:00,True,,85,1.0
arbdogeai,54,ArbDoge AI,aidoge,2024-12-13T00:00:00,2025-02-04T00:00:00,True,,54,1.0
arbidoge,83,ArbiDoge,adoge,2024-11-15T00:00:00,2025-02-04T00:00:00,True,,83,1.0
aries,76,Aries,aries,2024-11-21T00:00:00,2025-02-04T00:00:00,True,,76,1.0
ariethesealion,77,Arie The Sealion,arie,2024-11-20T00:00:00,2025-02-04T00:00:00,True,,77,1.0
army,27,ARMY,army,2025-01-09T00:00:00,2025-02-04T00:00:00,True,,27,1.0
army3,32,army3,,,,True,,0,0.0
