sheet_name,too_few_rows,low_price_coverage,invalid_date,missing_required_columns,other_reason,final_included,reason
a16gems,True,False,False,False,False,False,too_few_rows<30
aaacat,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
aavegotchi,True,False,False,False,False,False,too_few_rows<30
actual,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
aerobud,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
aethernet,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
agenda47,True,False,False,False,False,False,too_few_rows<30
agents,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
agentzero,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
ahatoken,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
aicrostrategy,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
aida,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
aintivirus2,True,False,False,False,False,False,too_few_rows<30
airene,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
aiws,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
akumainu,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
allwillretire,True,False,False,False,False,False,too_few_rows<30
allyourbase2,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
amocucinare,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
andy4,True,False,False,False,False,False,too_few_rows<30
andyerc,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
andyonbase,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
army,True,False,False,False,False,False,too_few_rows<30
army3,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
assai,True,False,False,False,False,False,too_few_rows<30
atabyvirtuals,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
atehun,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
autist,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
axol,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
babyfwog,True,False,False,False,False,False,too_few_rows<30
babypengu,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
babysharkmeme,True,False,False,False,False,False,too_few_rows<30
babytiger,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
bambooonbase,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
banano,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
bangkit,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
basedbario,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
basedbutthole,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
basedchad,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
basedfartcoin,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
basedfwog,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
basedhoppy,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
basedinternetpandarunes,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
basedpepe,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
basedturbo,True,True,True,False,False,False,too_few_rows<30;invalid_date;low_price_coverage<0.7
basegod,False,True,True,False,False,False,invalid_date;low_price_coverage<0.7
