sheet_name,seed,lookback,train_ratio,mae,rmse,mape,directional_accuracy,roi_proxy
abi,11,7,0.7,0.004637849805878846,0.004940244748582113,37.22742046828998,0.32,-0.03495037146224031
ai16z,11,7,0.7,0.3535681719606969,0.441290364389287,43.0244936867034,0.4,-0.06399602085392295
aicrystalnode,11,7,0.7,0.001030391528644384,0.0010304573705863702,1682.9156677402402,0.28,-0.09170492624910638
aiinu,11,7,0.7,0.008110736855406794,0.008193827477743837,88.54815722145321,0.16,-0.05043778314617265
aiwithdaddyissues,11,7,0.7,0.005450302591476294,0.005573208515739087,394.4653315353273,0.2,-0.09051857519382547
akiprotocol,11,7,0.7,0.0026134541645249153,0.002888834351560642,23.505076695184858,0.6,-0.012821406046821597
amaterasuomikami,11,7,0.7,0.004918973070403291,0.006596685547767623,12.989555954590742,0.72,0.09464818067819257
americancoin,11,7,0.7,1.6373365278380623e-06,2.5220709826490512e-06,34.98500366974126,0.64,-0.029020369009438225
analos,11,7,0.7,1.3008974129606513e-05,1.3392228908944973e-05,66.31995024866593,0.24,-0.027394168006498534
anyinu,11,7,0.7,4.129200970549266e-06,4.367204699815582e-06,80.7655004765321,0.24,-0.07611327332052134
astropepex,11,7,0.7,5.579074468757665e-05,5.6395365119742476e-05,47.84642167434191,0.44,-0.01277414323289766
autism2,11,7,0.7,0.0004599385749378728,0.000527533781703695,32.96789861258945,0.4,0.014416814514553873
autonomousvirtualbeings,11,7,0.7,0.009367376059356726,0.011190378395159534,52.90788112376516,0.56,0.24746637417034936
avaxhasnochill,11,7,0.7,0.0013373347283656915,0.0013716042126963135,78.07307871079755,0.4,0.046785921546985854
babybnb,11,7,0.7,0.005766331739902142,0.005817746569642809,340.871855267947,0.24,-0.028062988268030668
babywen,11,7,0.7,0.05363528942662144,0.055673615282037105,97.84739181012493,0.24,-0.06858554214494614
badideaai,11,7,0.7,6.727999989498983e-09,8.082078926325248e-09,66.95999988904467,0.12,0.06
bananatapewall,11,7,0.7,0.0006064280942980907,0.0006074865825206738,197.4287708835665,0.36,-0.041593415309424994
beercoin2,11,7,0.7,3.566334897908851e-06,3.824201861711991e-06,47.42482756948023,0.32,-0.03720591292094791
benthedog,11,7,0.7,0.00515682955897986,0.00552221759855202,104.43053882542088,0.32,-0.0878635471157648
billy,11,7,0.7,0.020145394042022546,0.020367997601937467,264.6226611187789,0.12,-0.12616229430958395
bingusthecat,11,7,0.7,0.001314731901752074,0.0013281414558506456,101.23532762390481,0.36,-0.03245926786348385
bitcat2,11,7,0.7,0.0009483880138427236,0.0009489913435129826,712.1693150137045,0.24,-0.0791631753560471
bobaoppa,11,7,0.7,0.0003596891288470287,0.00043591319935047765,25.320713812048062,0.56,0.038512055140716595
bobtoken,11,7,0.7,1.1926840605158253e-05,1.2498367878660273e-05,77.82250914242478,0.32,-0.0611010186949885
bongocat,11,7,0.7,0.027142544884564548,0.027627197359583737,224.30562439995546,0.2,-0.11236320406877147
