sheet_name,seed,comparison,delta_mae
abi,11,V0_to_V1,0.02822190351842732
abi,17,V0_to_V1,0.013311925188895207
abi,23,V0_to_V1,-0.01595727849021187
ai16z,11,V0_to_V1,-0.0142375556992618
ai16z,17,V0_to_V1,-0.012667625864660026
ai16z,23,V0_to_V1,-0.010666046493984144
aicrystalnode,11,V0_to_V1,0.037493766121510314
aicrystalnode,17,V0_to_V1,0.04559020899131126
aicrystalnode,23,V0_to_V1,-0.011461854128517197
aiinu,11,V0_to_V1,0.0198131805785697
aiinu,17,V0_to_V1,0.019978936711735208
aiinu,23,V0_to_V1,-0.0008196030167659449
aiwithdaddyissues,11,V0_to_V1,0.027384489854608278
aiwithdaddyissues,17,V0_to_V1,0.02708778877075073
aiwithdaddyissues,23,V0_to_V1,-0.007705358918636246
akiprotocol,11,V0_to_V1,0.022218391729852075
akiprotocol,17,V0_to_V1,-0.012166349517090514
akiprotocol,23,V0_to_V1,0.0206609109598666
amaterasuomikami,11,V0_to_V1,0.04531734248737674
amaterasuomikami,17,V0_to_V1,0.0209003631476943
amaterasuomikami,23,V0_to_V1,0.07067323233764969
americancoin,11,V0_to_V1,0.019199232255791978
americancoin,17,V0_to_V1,0.03120410351217044
americancoin,23,V0_to_V1,0.005919628942179345
analos,11,V0_to_V1,0.03885597340602653
analos,17,V0_to_V1,0.02820460390234601
analos,23,V0_to_V1,0.0018777388681774435
anyinu,11,V0_to_V1,0.011762277895287837
anyinu,17,V0_to_V1,0.011320296459269689
anyinu,23,V0_to_V1,0.025305106111008772
astropepex,11,V0_to_V1,0.04109433417710988
astropepex,17,V0_to_V1,-0.014700228472862275
astropepex,23,V0_to_V1,0.02452706656095651
autism2,11,V0_to_V1,0.011586614929689553
autism2,17,V0_to_V1,0.019602925277355496
autism2,23,V0_to_V1,0.0021355570874911634
autonomousvirtualbeings,11,V0_to_V1,-0.0004730120965383434
autonomousvirtualbeings,17,V0_to_V1,-0.018976234417003104
autonomousvirtualbeings,23,V0_to_V1,0.032716067601085336
avaxhasnochill,11,V0_to_V1,0.022408150234302177
avaxhasnochill,17,V0_to_V1,0.018810039211649608
avaxhasnochill,23,V0_to_V1,0.01235522811166196
babybnb,11,V0_to_V1,0.019598940547204326
babybnb,17,V0_to_V1,-0.0006895222325737568
babybnb,23,V0_to_V1,0.05261776824372324
babywen,11,V0_to_V1,-0.05618133672225017
babywen,17,V0_to_V1,-0.02656744721063098
babywen,23,V0_to_V1,0.05131693825699561
badideaai,11,V0_to_V1,0.014883430022370862
badideaai,17,V0_to_V1,0.029704118259771393
badideaai,23,V0_to_V1,-0.000568864450537214
bananatapewall,11,V0_to_V1,0.021307259980701695
bananatapewall,17,V0_to_V1,0.024531791650741347
bananatapewall,23,V0_to_V1,0.01705933468556431
beercoin2,11,V0_to_V1,0.01489502459539143
beercoin2,17,V0_to_V1,0.029684988795595002
beercoin2,23,V0_to_V1,-0.0005700613412122288
benthedog,11,V0_to_V1,0.01529396295483126
benthedog,17,V0_to_V1,0.014898674315580486
benthedog,23,V0_to_V1,-0.006406198938795432
billy,11,V0_to_V1,0.0014061194086308557
billy,17,V0_to_V1,-0.01616194764952203
billy,23,V0_to_V1,-0.0037615071105278897
bingusthecat,11,V0_to_V1,0.028095023425430608
bingusthecat,17,V0_to_V1,0.03293504544924576
bingusthecat,23,V0_to_V1,0.00378302485118686
bitcat2,11,V0_to_V1,0.010729304293967403
bitcat2,17,V0_to_V1,0.004130202983480949
bitcat2,23,V0_to_V1,0.01957921894752953
bobaoppa,11,V0_to_V1,0.030614084972276894
bobaoppa,17,V0_to_V1,0.05116538353218454
bobaoppa,23,V0_to_V1,-0.013961978645576884
bobtoken,11,V0_to_V1,0.017781626723034787
bobtoken,17,V0_to_V1,0.0288668934124792
bobtoken,23,V0_to_V1,0.02871162916756506
bongocat,11,V0_to_V1,-0.013671057186882296
bongocat,17,V0_to_V1,-0.037676754244504604
bongocat,23,V0_to_V1,0.019744656555848502
brainlet2,11,V0_to_V1,0.007493632563945422
brainlet2,17,V0_to_V1,-0.002334263263060639
brainlet2,23,V0_to_V1,0.01176883873961971
brothecat,11,V0_to_V1,0.019399931424208917
brothecat,17,V0_to_V1,0.02005082265303037
brothecat,23,V0_to_V1,0.008659523640764916
buu,11,V0_to_V1,0.025568000929063226
buu,17,V0_to_V1,0.033015503315912305
buu,23,V0_to_V1,0.0431232185038058
catalorian,11,V0_to_V1,0.03132109210700278
catalorian,17,V0_to_V1,0.013516887862908479
catalorian,23,V0_to_V1,0.012521374991276021
catana,11,V0_to_V1,-0.004410860445909432
catana,17,V0_to_V1,-0.009229415366860984
catana,23,V0_to_V1,0.010284561954240289
catecoin,11,V0_to_V1,0.046212672225933865
catecoin,17,V0_to_V1,-0.01928514988627349
catecoin,23,V0_to_V1,-0.008272359317116083
catwifhat2,11,V0_to_V1,0.0138721895507576
catwifhat2,17,V0_to_V1,-0.018014731361481844
catwifhat2,23,V0_to_V1,0.009989592789897223
chonky,11,V0_to_V1,0.03414367758573167
chonky,17,V0_to_V1,0.03360815278593878
chonky,23,V0_to_V1,0.0011906129352780362
chudjak,11,V0_to_V1,0.013923583126594932
chudjak,17,V0_to_V1,0.016657191561898405
chudjak,23,V0_to_V1,-0.006640753405253476
coal2,11,V0_to_V1,-0.02893643654167421
