sheet_name,token,ticker,rows,first_date,last_date,price_non_null
1guy,1GUY,1guy,77,2024-11-11,2025-01-29,77
1squirrel,#1 Squirrel,peanut,67,2024-11-27,2025-02-01,67
360noscope420blazeit,360noscope420blazeit,mlg,81,2024-11-11,2025-02-01,81
5,??,??,73,2024-11-21,2025-02-01,73
6,"""　""","""　""",52,2024-12-12,2025-02-01,52
888token,888,888,81,2024-11-11,2025-02-01,81
abi,Abi,abi,82,2024-11-11,2025-02-01,82
achi,achi,achi,75,2024-11-18,2025-02-01,75
acidtoad,Acid Toad,toad,18,2024-11-11,2024-12-04,18
adillo,Adillo,adillo,40,2024-12-24,2025-02-01,40
agentaigo,AgentAIgo,agent,43,2024-12-21,2025-02-01,43
agenttank,AgentTank,tank,50,2024-12-14,2025-02-01,50
ai16z,ai16z,ai16z,82,2024-11-11,2025-02-01,82
ai16zeliza,ai16zeliza,eliza,43,2024-12-21,2025-02-01,43
aicrystalnode,AI Crystal Node,aicrynode,82,2024-11-11,2025-02-01,82
aiinu,AI INU,aiinu,81,2024-11-11,2025-02-01,81
aimerica,AIMERICA,uai,42,2024-12-22,2025-02-01,42
aimonicabrands,Aimonica Brands,aimonica,53,2024-12-11,2025-02-01,53
aishellnova,AI Shell NOVA,nova,33,2024-12-31,2025-02-01,33
aitraderagent,AI Trader Agent,ait,30,2025-01-03,2025-02-01,30
aiwarpertoken,AIWarper Token,warper,66,2024-11-26,2025-02-01,66
aiwithdaddyissues,Aiwithdaddyissues,shegen,82,2024-11-11,2025-02-01,82
akiprotocol,Aki Network,aki,82,2024-11-11,2025-02-01,82
akitabsc,AKITA-BSC,akita,40,2024-12-24,2025-02-01,40
alaska,Alaska,alaska,78,2024-11-15,2025-02-01,78
alchemistai,Alchemist AI,alch,59,2024-12-05,2025-02-01,59
alp,ALP,alp,78,2024-11-15,2025-02-01,78
alpaca2,Alpaca,alpaca,74,2024-11-19,2025-02-01,74
alpha3,Alpha,alpha,78,2024-11-11,2025-02-01,78
amaterasuomikami,AMATERASU OMIKAMI,omikami,82,2024-11-11,2025-02-01,82
americancoin,American Coin,usa,82,2024-11-11,2025-02-01,82
americapac,America Pac,pac,79,2024-11-13,2025-02-01,79
analos,analoS,analos,82,2024-11-11,2025-02-01,82
andy70b,ANDY70B,andy70b,42,2024-12-22,2025-02-01,42
andyman,Andyman,andyman,81,2024-11-11,2025-02-01,81
anitamaxwynn,Anita Max Wynn,wynn,78,2024-11-15,2025-02-01,78
antitoken,Antitoken,anti,30,2025-01-03,2025-02-01,30
anyinu,Any Inu,ai,82,2024-11-11,2025-02-01,82
aped,Aped,aped,68,2024-11-26,2025-02-01,68
aquarius2,Aquarius,aquarius,72,2024-11-21,2025-02-01,72
aquathecoin,Aquathecoin,aqua,79,2024-11-12,2025-02-01,79
arbidoge,ArbiDoge,adoge,77,2024-11-15,2025-02-01,77
aries,Aries,aries,72,2024-11-21,2025-02-01,72
ariethesealion,Arie The Sealion,arie,74,2024-11-20,2025-02-01,74
astheria,Astheria,heria,42,2024-12-22,2025-02-01,42
astropepex,AstroPepeX,apx,82,2024-11-11,2025-02-01,82
auraonsol,aura,aura,81,2024-11-11,2025-02-01,81
auroraterminal,Aurora,aurora,74,2024-11-20,2025-02-01,74
autism2,autism,autism,82,2024-11-11,2025-02-01,82
autonomousvirtualbeings,Autonomous Virtual Beings,avb,82,2024-11-11,2025-02-01,82
avaai,Ava AI,ava,66,2024-11-28,2025-02-01,66
avachiangmainightsafariava,AVA Chiang Mai Night Safari (AVA),ava,67,2024-11-27,2025-02-01,67
avaxhasnochill,AVAX HAS NO CHILL,nochill,82,2024-11-11,2025-02-01,82
avocato,Avocato,ato,74,2024-11-19,2025-02-01,74
axi,AXI,axi,43,2024-12-21,2025-02-01,43
babybitcoin2,Baby BitCoin,babybtc,78,2024-11-15,2025-02-01,78
babybnb,Baby BNB,babybnb,82,2024-11-11,2025-02-01,82
babydragonx,Baby DragonX,bdx,77,2024-11-11,2025-02-01,77
babyneirotoken,Baby Neiro Token,babyneiro,81,2024-11-11,2025-02-01,81
babypepe3,Baby Pepe,babypepe,42,2024-12-22,2025-02-01,42
babyshironeko,Baby Shiro Neko,babyshiro,61,2024-12-03,2025-02-01,61
babywen,Baby Wen,bwen,82,2024-11-11,2025-02-01,82
badcatsol,BADCATsol,$badcat,74,2024-11-19,2025-02-01,74
badideaai,Bad Idea AI,bad,82,2024-11-11,2025-02-01,82
ballsoffate,Balls of Fate,bof,80,2024-11-11,2025-02-01,80
bananacat,BananaCat,bcat,81,2024-11-11,2025-02-01,81
bananaforscale,Banana for Scale,banana,67,2024-11-27,2025-02-01,67
bananaforscale2,Banana For Scale,banana,58,2024-12-06,2025-02-01,58
bananatapewall,Banana Tape Wall,btw,82,2024-11-11,2025-02-01,82
based,BASED,based,80,2024-11-11,2025-02-01,80
basktfun,Baskt.Fun,baskt,70,2024-11-24,2025-02-01,70
beercoin2,Beercoin,beer,82,2024-11-11,2025-02-01,82
believeinsomething,Believe In Something,bis,80,2024-11-11,2025-02-01,80
believeinsomething2,believe in something,dtf,78,2024-11-15,2025-02-01,78
belikeblob,Blob,blob,72,2024-11-22,2025-02-01,72
benthedog,Ben the Dog,bendog,82,2024-11-11,2025-02-01,82
bertramthepomeranian,Bertram The Pomeranian,bert,79,2024-11-13,2025-02-01,79
beth,Beth,$beth,37,2024-12-27,2025-02-01,37
betmore,Bet more,bet,80,2024-11-11,2025-02-01,80
biaoonsol,BIAO on SOL,biao,59,2024-12-05,2025-02-01,59
biaoqing,Biaoqing,biao,81,2024-11-11,2025-02-01,81
big,BIG,big,46,2024-12-10,2025-02-01,46
bigcheungus,Big Cheungus,$cheungus,71,2024-11-22,2025-02-01,71
bigdogfink,Big Dog Fink,bink,75,2024-11-19,2025-02-01,75
bigjim,BIG JIM,bigjim,36,2024-12-28,2025-02-01,36
bigpharmai,Big Pharmai,drugs,46,2024-12-18,2025-02-01,46
billiondollarcatrunes,BILLION•DOLLAR•CAT (Runes),bdc,43,2024-12-21,2025-02-01,43
billy,Billy,billy,82,2024-11-11,2025-02-01,82
bingusthecat,Bingus The Cat,bingus,82,2024-11-11,2025-02-01,82
birddog,Bird Dog,birddog,81,2024-11-11,2025-02-01,81
bitbonk,BitBonk,bbonk,80,2024-11-11,2025-02-01,80
bitcat2,BitCat,btcat,82,2024-11-11,2025-02-01,82
bitcat3,Bitcat,bitcat,75,2024-11-19,2025-02-01,75
bitcoinact,BITCOIN Act,btcact,75,2024-11-19,2025-02-01,75
blackagnus,Black Agnus,ftw,60,2024-12-02,2025-02-01,60
blackunicorncorp,Black Unicorn Corp.,moon,30,2025-01-03,2025-02-01,30
blinkdotfun,blinkdotfun,blink,45,2024-12-19,2025-02-01,45
blinksgg,Blinks.gg,bgg1,81,2024-11-11,2025-02-01,81
blk2100,BLK2100,$blk,69,2024-11-11,2025-01-26,69
blobanapet,Blobana pet,blob,72,2024-11-21,2025-02-01,72
bloomspergterminal,Bloomsperg Terminal,sperg,72,2024-11-22,2025-02-01,72
bobacat,BobaCat,psps,81,2024-11-11,2025-02-01,81
