sheet_name,seed,lookback,train_ratio,mae,rmse,mape,smape,directional_accuracy,roi_proxy,n_obs
360noscope420blazeit,11,7,0.7,0.3916769428776356,0.507495930325013,381.79334981141193,147.14546940229252,0.36,-0.07983999407614505,25
888token,11,7,0.7,0.017757664081994903,0.021670587324118393,15.607563843256136,15.283008947909963,0.44,0.04490491569850427,25
abi,11,7,0.7,0.0024728762264922353,0.002759371454055728,19.817381942353563,17.637802073937408,0.36,-0.02491888802299405,25
ai16z,11,7,0.7,0.5676031784045008,0.6893930107197157,68.96833619642243,47.62979257292784,0.32,-0.10970007967656915,25
aicrystalnode,11,7,0.7,5.461298431791161e-05,5.624474247896941e-05,89.82492822191564,156.34315334416254,0.72,0.09170492624910638,25
aiinu,11,7,0.7,0.002325285449611124,0.0024443051199138535,25.50941152157249,22.252467285937605,0.16,-0.05043778314617265,25
aiwithdaddyissues,11,7,0.7,0.0007646306899261917,0.0008853858617239399,46.12029852318738,37.45795535160611,0.48,0.07183867741296522,25
akiprotocol,11,7,0.7,0.0011120860548981715,0.0014685478370730436,10.509860132592763,11.562481207299726,0.68,0.007016833239730921,25
amaterasuomikami,11,7,0.7,0.005418256886962973,0.006929919859472381,15.748870435447632,14.877768692581206,0.72,0.06091160417489304,25
americancoin,11,7,0.7,1.5450335991438254e-06,2.2780996855848765e-06,35.86726273554288,40.82986595494254,0.52,-0.09184933146834182,25
analos,11,7,0.7,2.250201380258711e-06,3.5947522625281637e-06,10.063643247025627,10.299486953052504,0.72,0.03963243409538267,25
andyman,11,7,0.7,0.00042913474278312116,0.0004580466382033904,57.983569255681964,42.315427137585885,0.12,-0.09095277339368972,25
anyinu,11,7,0.7,2.925706484859871e-06,3.1195314970683354e-06,57.29687916760856,42.15445319104025,0.24,-0.07611327332052134,25
astropepex,11,7,0.7,1.0005679082085081e-05,1.2424593682459655e-05,8.575269040206656,8.16402395957145,0.56,0.00795965603412316,25
auraonsol,11,7,0.7,0.0016801694624946025,0.0019171983969906525,36.12052280999746,28.155724411348395,0.24,-0.07779299850838414,25
autism2,11,7,0.7,0.0003565342876772175,0.00044452441168168843,22.97495809385454,23.276277718344172,0.68,0.06597395358866551,25
autonomousvirtualbeings,11,7,0.7,0.008665324955573593,0.011435135444701032,39.681474515727466,35.86489131938031,0.72,0.335517748835697,25
avaxhasnochill,11,7,0.7,0.0003050295032587523,0.0003935285494979257,16.744798612374872,16.493022049170072,0.64,0.07735999325239477,25
babybnb,11,7,0.7,0.001216774647511372,0.0013742416713775317,74.66499662797094,49.07072028995231,0.32,0.03454426266744883,25
babyneirotoken,11,7,0.7,3.712368040020084e-07,3.85811151913604e-07,58.291143766317646,43.42150136828406,0.24,-0.0807635195201028,25
babywen,11,7,0.7,0.011682102005729824,0.014181820795563847,21.817978995992654,18.872359286504903,0.4,-0.04192890140745772,25
badideaai,11,7,0.7,7.528400745831851e-09,9.04145248805389e-09,74.7699627687499,48.46290232273773,0.12,0.06,25
bananatapewall,11,7,0.7,4.4171317964693116e-05,5.425286974757125e-05,15.031164423741652,13.543238592258957,0.52,0.0016355710012866149,25
beercoin2,11,7,0.7,1.976147610886041e-06,2.1862183690484583e-06,26.436372021695377,22.627261062254867,0.4,0.0004230579796992967,25
benthedog,11,7,0.7,0.0024935239238553534,0.00280280921772755,50.114790763134124,36.765871227356634,0.32,-0.0878635471157648,25
billy,11,7,0.7,0.0019416937620073613,0.002142922245751435,24.226532979125885,20.770041034959643,0.4,0.003961986029700748,25
bingusthecat,11,7,0.7,0.00024457067991764275,0.0002825257897468558,18.30963326538811,17.643917208805323,0.64,0.07925403822602353,25
bitcat2,11,7,0.7,9.534211263397339e-05,9.793441069734176e-05,68.64240856636918,107.79247053863105,0.76,0.0791631753560471,25
bobaoppa,11,7,0.7,0.0002577271346683626,0.00031116087475567067,17.08815476545633,15.275745616365855,0.6,0.06976151554880627,25
bobtoken,11,7,0.7,3.3926807397340623e-06,3.7604679206661583e-06,21.830643692370042,19.21291599306503,0.36,-0.034770627774433634,25
bongocat,11,7,0.7,0.007460872548830952,0.008130712914672496,59.06787077078085,43.16203334914987,0.24,-0.07760142559084017,25
brainlet2,11,7,0.7,0.0008071695642008413,0.001098261911706986,19.527562777073378,18.285016967361425,0.68,0.10825763443123929,25
brothecat,11,7,0.7,0.00018755531106171835,0.00024767655086790766,34.72076973585969,31.064150458939725,0.52,0.1460476887113585,25
buu,11,7,0.7,0.0009560428083235036,0.0009876730200293815,89.91737584815036,58.77359985609642,0.36,-0.07737188549347022,25
catalorian,11,7,0.7,0.0017414391130403427,0.002034803476338788,81.00807363638144,47.392285566658806,0.48,-0.0686716075931294,25
catana,11,7,0.7,0.004364438663048797,0.005118859285649631,95.49126913376816,62.87597308598634,0.32,0.0629191200494866,25
catecoin,11,7,0.7,3.743782454424283e-08,3.925854698666527e-08,24.38662541097828,21.423150957654332,0.16,-0.037698830409356725,25
catwifhat2,11,7,0.7,1.859478352835701e-08,2.3751304613722523e-08,9.658480509884962,9.477210759695843,0.64,0.06057982241506269,25
chonky,11,7,0.7,1.1819821537133811e-06,1.3990332335142399e-06,13.460926336929568,12.819586711330738,0.64,0.06500320786969478,25
chudjak,11,7,0.7,0.0035228971849549985,0.003961583647792343,51.83373578131495,38.28940505732278,0.48,0.000885812102987944,25
coal2,11,7,0.7,0.0076088488989409795,0.009199817874247273,18.483072945571564,16.772046804497645,0.52,0.015322180112529837,25
costcohotdog,11,7,0.7,0.0003169486291033864,0.0004371008301827683,18.048742429882466,19.030054426012946,0.68,0.07513190473121222,25
crashout,11,7,0.7,0.0011230710882149126,0.0013703859298228053,23.22647967965926,19.95655043319916,0.6,0.12393271288734298,25
csi888,11,7,0.7,0.00046888870800151515,0.0005566681676336969,63.18505982054137,40.59259975774188,0.36,-0.061767939768320686,25
cumrocket,11,7,0.7,0.0009196156100524614,0.001053716806261652,21.819138094317,19.12603924534503,0.32,-0.020343258560476408,25
dancingtriangle2,11,7,0.7,0.00016629309051343125,0.00019754078741268197,33.29771387487747,26.90823418809749,0.64,0.07037860136642259,25
darkmaga,11,7,0.7,0.000915153273301461,0.0012528894089470178,21.53226265618038,21.4699591106106,0.6,0.026290784217091138,25
deepworm,11,7,0.7,0.012817189035690324,0.014185952140561444,298.8381143824806,91.85498783233582,0.36,-0.1288608040326739,25
degenspartanai,11,7,0.7,0.013471731991450454,0.014779006097415942,76.03984936369775,49.48749187852545,0.32,-0.0701673272245775,25
dejitarutsuka,11,7,0.7,0.0012042008783706454,0.0012996092297989604,23.08575820085654,20.998496326943176,0.24,-0.006070833823007468,25
dogemascotshibu,11,7,0.7,0.00017732500524362497,0.00024199674991251245,12.992266276593995,13.042415732505106,0.56,0.04226293525129415,25
