sheet_name,roi_proxy,rank_group
lilyscoin,-0.2107826814175745,bottom
jeoboden,-0.18269430228884997,bottom
gikocat,-0.1703993512657773,bottom
terminus2,-0.1604836361430794,bottom
kittenhaimer,-0.1557519879737668,bottom
littlemanyu,-0.13948590514813122,bottom
degenspartanai,-0.13699617983447396,bottom
komainu,-0.12812323640298737,bottom
hawk2,-0.1072149118525912,bottom
waffles,-0.10672578289005048,bottom
brothecat,0.06334042764975731,top
valhallaindex,0.0654722269617279,top
riko,0.07604788752002813,top
360noscope420blazeit,0.07692589667964193,top
dancingtriangle2,0.09464183494775887,top
catana,0.11071294918674346,top
ronnie,0.13452951795127785,top
rockytherock,0.15227960585600012,top
project89,0.16355870130477554,top
inferno2,0.4552437000010106,top
