sheet_name,seed,lookback,train_ratio,mae,rmse,mape,smape,directional_accuracy,roi_proxy,n_obs
360noscope420blazeit,11,7,0.7,0.3916769428776356,0.507495930325013,381.79334981141193,147.14546940229252,0.36,-0.079839994076145,25
888token,11,7,0.7,0.0177576640819949,0.0216705873241183,15.607563843256136,15.283008947909964,0.44,0.0449049156985042,25
abi,11,7,0.7,0.0024728762264922,0.0027593714540557,19.817381942353563,17.637802073937408,0.36,-0.024918888022994,25
ai16z,11,7,0.7,0.5676031784045008,0.6893930107197157,68.96833619642243,47.62979257292784,0.32,-0.1097000796765691,25
aicrystalnode,11,7,0.7,5.461298431791161e-05,5.624474247896941e-05,89.82492822191564,156.34315334416254,0.72,0.0917049262491063,25
aiinu,11,7,0.7,0.0023252854496111,0.0024443051199138,25.50941152157249,22.252467285937605,0.16,-0.0504377831461726,25
aiwithdaddyissues,11,7,0.7,0.0007646306899261,0.0008853858617239,46.12029852318738,37.45795535160611,0.48,0.0718386774129652,25
akiprotocol,11,7,0.7,0.0011120860548981,0.001468547837073,10.509860132592763,11.562481207299726,0.68,0.0070168332397309,25
amaterasuomikami,11,7,0.7,0.0054182568869629,0.0069299198594723,15.748870435447632,14.877768692581206,0.72,0.060911604174893,25
americancoin,11,7,0.7,1.5450335991438254e-06,2.2780996855848765e-06,35.86726273554288,40.82986595494254,0.52,-0.0918493314683418,25
analos,11,7,0.7,2.250201380258711e-06,3.594752262528164e-06,10.063643247025627,10.299486953052504,0.72,0.0396324340953826,25
andyman,11,7,0.7,0.0004291347427831,0.0004580466382033,57.98356925568197,42.315427137585885,0.12,-0.0909527733936897,25
anyinu,11,7,0.7,2.925706484859871e-06,3.1195314970683354e-06,57.29687916760856,42.15445319104025,0.24,-0.0761132733205213,25
astropepex,11,7,0.7,1.000567908208508e-05,1.2424593682459655e-05,8.575269040206656,8.16402395957145,0.56,0.0079596560341231,25
auraonsol,11,7,0.7,0.0016801694624946,0.0019171983969906,36.12052280999746,28.155724411348395,0.24,-0.0777929985083841,25
autism2,11,7,0.7,0.0003565342876772,0.0004445244116816,22.97495809385454,23.27627771834417,0.68,0.0659739535886655,25
autonomousvirtualbeings,11,7,0.7,0.0086653249555735,0.011435135444701,39.681474515727466,35.86489131938031,0.72,0.335517748835697,25
avaxhasnochill,11,7,0.7,0.0003050295032587,0.0003935285494979,16.744798612374872,16.493022049170072,0.64,0.0773599932523947,25
babybnb,11,7,0.7,0.0012167746475113,0.0013742416713775,74.66499662797094,49.07072028995231,0.32,0.0345442626674488,25
babyneirotoken,11,7,0.7,3.712368040020084e-07,3.85811151913604e-07,58.291143766317646,43.42150136828406,0.24,-0.0807635195201028,25
babywen,11,7,0.7,0.0116821020057298,0.0141818207955638,21.81797899599265,18.872359286504903,0.4,-0.0419289014074577,25
badideaai,11,7,0.7,7.528400745831851e-09,9.04145248805389e-09,74.7699627687499,48.46290232273773,0.12,0.06,25
bananatapewall,11,7,0.7,4.417131796469312e-05,5.425286974757125e-05,15.031164423741652,13.543238592258955,0.52,0.0016355710012866,25
beercoin2,11,7,0.7,1.976147610886041e-06,2.1862183690484583e-06,26.436372021695377,22.627261062254867,0.4,0.0004230579796992,25
benthedog,11,7,0.7,0.0024935239238553,0.0028028092177275,50.11479076313413,36.76587122735664,0.32,-0.0878635471157648,25
billy,11,7,0.7,0.0019416937620073,0.0021429222457514,24.226532979125885,20.770041034959643,0.4,0.0039619860297007,25
bingusthecat,11,7,0.7,0.0002445706799176,0.0002825257897468,18.30963326538811,17.643917208805323,0.64,0.0792540382260235,25
bitcat2,11,7,0.7,9.53421126339734e-05,9.793441069734176e-05,68.64240856636918,107.79247053863104,0.76,0.0791631753560471,25
bobaoppa,11,7,0.7,0.0002577271346683,0.0003111608747556,17.08815476545633,15.275745616365857,0.6,0.0697615155488062,25
bobtoken,11,7,0.7,3.3926807397340623e-06,3.7604679206661583e-06,21.83064369237004,19.21291599306503,0.36,-0.0347706277744336,25
bongocat,11,7,0.7,0.0074608725488309,0.0081307129146724,59.06787077078085,43.16203334914987,0.24,-0.0776014255908401,25
brainlet2,11,7,0.7,0.0008071695642008,0.0010982619117069,19.527562777073378,18.285016967361425,0.68,0.1082576344312392,25
brothecat,11,7,0.7,0.0001875553110617,0.0002476765508679,34.72076973585969,31.064150458939725,0.52,0.1460476887113585,25
buu,11,7,0.7,0.0009560428083235,0.0009876730200293,89.91737584815036,58.77359985609642,0.36,-0.0773718854934702,25
catalorian,11,7,0.7,0.0017414391130403,0.0020348034763387,81.00807363638144,47.392285566658806,0.48,-0.0686716075931294,25
catana,11,7,0.7,0.0043644386630487,0.0051188592856496,95.49126913376816,62.87597308598634,0.32,0.0629191200494866,25
catecoin,11,7,0.7,3.743782454424283e-08,3.925854698666527e-08,24.38662541097828,21.42315095765433,0.16,-0.0376988304093567,25
catwifhat2,11,7,0.7,1.8594783528357013e-08,2.3751304613722526e-08,9.658480509884962,9.477210759695843,0.64,0.0605798224150626,25
chonky,11,7,0.7,1.1819821537133811e-06,1.39903323351424e-06,13.460926336929568,12.819586711330738,0.64,0.0650032078696947,25
chudjak,11,7,0.7,0.0035228971849549,0.0039615836477923,51.83373578131495,38.28940505732278,0.48,0.0008858121029879,25
coal2,11,7,0.7,0.0076088488989409,0.0091998178742472,18.483072945571564,16.772046804497645,0.52,0.0153221801125298,25
costcohotdog,11,7,0.7,0.0003169486291033,0.0004371008301827,18.048742429882463,19.030054426012946,0.68,0.0751319047312122,25
crashout,11,7,0.7,0.0011230710882149,0.0013703859298228,23.22647967965926,19.95655043319916,0.6,0.1239327128873429,25
csi888,11,7,0.7,0.0004688887080015,0.0005566681676336,63.18505982054137,40.59259975774188,0.36,-0.0617679397683206,25
cumrocket,11,7,0.7,0.0009196156100524,0.0010537168062616,21.819138094317,19.12603924534503,0.32,-0.0203432585604764,25
dancingtriangle2,11,7,0.7,0.0001662930905134,0.0001975407874126,33.29771387487747,26.90823418809749,0.64,0.0703786013664225,25
darkmaga,11,7,0.7,0.0009151532733014,0.001252889408947,21.53226265618038,21.4699591106106,0.6,0.0262907842170911,25
deepworm,11,7,0.7,0.0128171890356903,0.0141859521405614,298.8381143824806,91.85498783233582,0.36,-0.1288608040326739,25
degenspartanai,11,7,0.7,0.0134717319914504,0.0147790060974159,76.03984936369775,49.48749187852545,0.32,-0.0701673272245775,25
dejitarutsuka,11,7,0.7,0.0012042008783706,0.0012996092297989,23.08575820085654,20.998496326943176,0.24,-0.0060708338230074,25
dogemascotshibu,11,7,0.7,0.0001773250052436,0.0002419967499125,12.992266276593996,13.042415732505106,0.56,0.0422629352512941,25
dogeonsolana,11,7,0.7,0.0002962160500522,0.000325770274881,71.25102250565077,48.16693284700672,0.32,-0.0699924498666786,25
doggo3,11,7,0.7,3.3547524286046857e-07,3.798070979593796e-07,24.323264428471923,21.0540876255211,0.24,-0.0189713558109088,25
donaldtremp,11,7,0.7,0.0286593780140432,0.032755983163778,30.645286217844895,27.51412945311841,0.52,0.0254724418685688,25
dorklord2,11,7,0.7,0.0042032388873218,0.0048746290037101,16.581011300462382,15.97747582333854,0.72,0.0952564329846513,25
ducky,11,7,0.7,5.895213080871596e-07,6.140352421560247e-07,74.39403983022045,51.02329650969244,0.16,-0.0919949225008319,25
duko,11,7,0.7,6.718483115745703e-05,7.49211335017089e-05,17.164269248042675,16.151656454978237,0.72,0.1124562431543109,25
elgato,11,7,0.7,2.300724567750553e-05,2.713627488084163e-05,18.959908281248897,16.69379609582053,0.48,0.0244610702564941,25
elon,11,7,0.7,5.622488378885289e-07,7.229879823052757e-07,16.48089150929365,16.4531158383037,0.56,0.0248052798442738,25
eyeearn,11,7,0.7,4.2942677963751145e-08,5.022837176950993e-08,22.713534128404007,26.48213692462229,0.72,0.0313138599035758,25
feces,11,7,0.7,0.0003267585191167,0.0003769948080567,33.01908609665712,25.92563969633032,0.28,-0.1048449968197327,25
fefeoneth,11,7,0.7,0.0010939275516122,0.0011817302935739,31.0102422328484,25.919345491421254,0.32,-0.0567102757094991,25
feistydogenft,11,7,0.7,1.5737637804595666e-05,1.941459778788154e-05,17.244040692534565,15.40574624115782,0.28,-0.0502645125591413,25
fighttomaga,11,7,0.7,0.0008163006352806,0.0009626014802537,40.90915140844612,31.039894953248357,0.4,-0.0574824731125621,25
firstreply,11,7,0.7,0.0005196172492497,0.0006080468055509,28.90134565634516,24.18448050586447,0.6,0.028548189461954,25
fisttrumppump,11,7,0.7,0.2958458323194256,0.3445191650356592,92.6667560925036,55.7192790200986,0.4,-0.0511519899888432,25
floos,11,7,0.7,0.0001794991100415,0.000233022022235,27.132627888655016,34.51945014333499,0.6,-0.0647679940142888,25
fofar,11,7,0.7,1.8146773429318493e-06,2.016162040347999e-06,36.68220687478871,29.608238565855693,0.36,-0.0433218024057065,25
forest,11,7,0.7,0.0014407980015428,0.0017851515160854,32.31169595957039,30.059724528619576,0.52,0.0833600317645619,25
gamestop,11,7,0.7,3.628137716653759e-05,4.689892671480172e-05,15.627395216463718,14.544184606472797,0.6,0.0116193801064583,25
gameswift,11,7,0.7,0.0146731450954896,0.0175372741887106,27.310295577976454,22.673922787697823,0.36,-0.0400998317552672,25
gdog,11,7,0.7,4.135292502849706e-07,4.988672843314293e-07,14.989496667116706,16.755294751706266,0.6,0.000570316131215,25
gikocat,11,7,0.7,1.0082059496220888,1.2555191884814176,62.11737797879857,39.9307637733109,0.4,-0.0526695842259354,25
ginnanthecat,11,7,0.7,7.424414494807036e-08,9.411462468144583e-08,25.43868624762688,21.635730221824776,0.6,0.0261167881462062,25
gme,11,7,0.7,0.000616043937462,0.0006851345262157,23.152002846936607,20.008899563642267,0.4,-0.0374259401466394,25
