sheet_name,issue,date_dtype,date_sample
aaacat,date_parse_failed,float64,
actual,date_parse_failed,float64,
aerobud,date_parse_failed,float64,
aethernet,date_parse_failed,float64,
agents,date_parse_failed,float64,
agentzero,date_parse_failed,float64,
ahatoken,date_parse_failed,float64,
aicrostrategy,date_parse_failed,float64,
aida,date_parse_failed,float64,
airene,date_parse_failed,float64,
aiws,date_parse_failed,float64,
akumainu,date_parse_failed,float64,
allyourbase2,date_parse_failed,float64,
amocucinare,date_parse_failed,float64,
andyerc,date_parse_failed,float64,
andyonbase,date_parse_failed,float64,
army3,date_parse_failed,float64,
atabyvirtuals,date_parse_failed,float64,
atehun,date_parse_failed,float64,
autist,date_parse_failed,float64,
axol,date_parse_failed,float64,
babypengu,date_parse_failed,object,
babytiger,date_parse_failed,float64,
bambooonbase,date_parse_failed,float64,
banano,date_parse_failed,float64,
bangkit,date_parse_failed,float64,
basedbario,date_parse_failed,float64,
basedbutthole,date_parse_failed,float64,
basedchad,date_parse_failed,float64,
basedfartcoin,date_parse_failed,float64,
basedfwog,date_parse_failed,float64,
basedhoppy,date_parse_failed,float64,
basedinternetpandarunes,date_parse_failed,float64,
basedpepe,date_parse_failed,float64,
basedturbo,date_parse_failed,object,
basegod,date_parse_failed,float64,
basenji,date_parse_failed,float64,
beamcat,date_parse_failed,float64,
beatsonbase,date_parse_failed,float64,
beebase,date_parse_failed,float64,
beegbluewhale,date_parse_failed,float64,
bellscoin,date_parse_failed,float64,
beni,date_parse_failed,float64,
bigtony,date_parse_failed,float64,
birdsping,date_parse_failed,float64,
bitcoinbrobearrunes,date_parse_failed,float64,
bitcoinonbase,date_parse_failed,object,
blackdragon,date_parse_failed,float64,
blepsupermeme,date_parse_failed,float64,
blub,date_parse_failed,float64,
bmoneyakabrett,date_parse_failed,float64,
bob3,date_parse_failed,float64,
bonkey,date_parse_failed,float64,
boomer,date_parse_failed,float64,
booshi,date_parse_failed,float64,
bored2,date_parse_failed,float64,
breakoutbrobyvirtuals,date_parse_failed,float64,
brian,date_parse_failed,float64,
britto2,date_parse_failed,float64,
bsop,date_parse_failed,float64,
bubbles2,date_parse_failed,float64,
bulla2,date_parse_failed,float64,
burt,date_parse_failed,float64,
carlo,date_parse_failed,float64,
catbal,date_parse_failed,float64,
catcoin,date_parse_failed,float64,
charlesthechad,date_parse_failed,float64,
chihuahuatoken,date_parse_failed,float64,
chinesedogewow,date_parse_failed,float64,
clankfun,date_parse_failed,float64,
clayton,date_parse_failed,float64,
coffee2,date_parse_failed,float64,
coin6900,date_parse_failed,float64,
coinyewest,date_parse_failed,float64,
condo,date_parse_failed,float64,
crashonbase,date_parse_failed,float64,
curtis,date_parse_failed,float64,
cuteasiangirl,date_parse_failed,float64,
cyberdog,date_parse_failed,float64,
cyphergenesisrunes,date_parse_failed,float64,
degencapitalbyvirtuals,date_parse_failed,float64,
dickbutt,date_parse_failed,float64,
dino2,date_parse_failed,float64,
dogeeatdoge,date_parse_failed,float64,
dogeinu,date_parse_failed,float64,
dogi,date_parse_failed,float64,
doginme,date_parse_failed,object,
dogk,date_parse_failed,object,
dream2,date_parse_failed,float64,
drop2,date_parse_failed,float64,
farm2,date_parse_failed,float64,
flatearth,date_parse_failed,float64,
fofar2,date_parse_failed,float64,
forgivemefather,date_parse_failed,float64,
foxy,date_parse_failed,float64,
fpibank,date_parse_failed,float64,
freysaai,date_parse_failed,float64,
fudthepug,date_parse_failed,float64,
fwogtakes,date_parse_failed,float64,
gekobase,date_parse_failed,float64,
gertrudedatapig,date_parse_failed,float64,
ghffb47yii2rteeyy10op,date_parse_failed,float64,
ghoad,date_parse_failed,float64,
gizmoimaginarykittenrunes,date_parse_failed,float64,
goatbased,date_parse_failed,float64,
goats2,date_parse_failed,float64,
gobisgobisgob,date_parse_failed,float64,
goggles,date_parse_failed,float64,
googles,date_parse_failed,float64,
grass3,date_parse_failed,float64,
guanciale,date_parse_failed,float64,
guiinu,date_parse_failed,float64,
hathor,date_parse_failed,float64,
hatom,date_parse_failed,float64,
hedgewaterdao,date_parse_failed,float64,
hedgythehedgehog,date_parse_failed,float64,
henlo2,date_parse_failed,float64,
higher,date_parse_failed,float64,
hovercat,date_parse_failed,float64,
hug,date_parse_failed,float64,
hyena,date_parse_failed,float64,
indi,date_parse_failed,float64,
internetdoge,date_parse_failed,float64,
investzone,date_parse_failed,float64,
ionabyvirtuals,date_parse_failed,object,
ivy2,date_parse_failed,float64,
jaihoz,date_parse_failed,float64,
jeff3,date_parse_failed,float64,
kango,date_parse_failed,float64,
kasper,date_parse_failed,float64,
kaspy,date_parse_failed,float64,
keke,date_parse_failed,float64,
kenduinu2,date_parse_failed,float64,
keyboardcatbase,date_parse_failed,float64,
kiratheinjectivecat,date_parse_failed,float64,
kokutheshikoku,date_parse_failed,float64,
konanofkaspa,date_parse_failed,float64,
landwolfbase,date_parse_failed,float64,
leopold,date_parse_failed,float64,
lilbrett,date_parse_failed,float64,
liquina,date_parse_failed,float64,
liquor,date_parse_failed,float64,
lockinonbase,date_parse_failed,float64,
lofi2,date_parse_failed,float64,
loopysui,date_parse_failed,float64,
luckycoin,date_parse_failed,float64,
luminous,date_parse_failed,float64,
lumoscoin,date_parse_failed,float64,
machi,date_parse_failed,float64,
marsotech,date_parse_failed,float64,
memeerkat,date_parse_failed,float64,
memefi2,date_parse_failed,float64,
mementomori,date_parse_failed,float64,
meow3,date_parse_failed,float64,
mfercoin,date_parse_failed,float64,
millicoin,date_parse_failed,float64,
mistermiggles,date_parse_failed,float64,
mistery,date_parse_failed,float64,
mochithecatcoin,date_parse_failed,float64,
monko,date_parse_failed,float64,
moomoo,date_parse_failed,float64,
moondogai,date_parse_failed,float64,
moonrabbits,date_parse_failed,float64,
msqcycleburn,date_parse_failed,float64,
muncat,date_parse_failed,float64,
nachothekat,date_parse_failed,float64,
nikitabyvirtuals,date_parse_failed,float64,
nikolai,date_parse_failed,float64,
nonja,date_parse_failed,float64,
normie2,date_parse_failed,float64,
normilio,date_parse_failed,float64,
nothing3,date_parse_failed,float64,
okayeg,date_parse_failed,float64,
omega3,date_parse_failed,float64,
otto,date_parse_failed,float64,
paponinja,date_parse_failed,float64,
paradox3,date_parse_failed,float64,
party4,date_parse_failed,float64,
patriotonbase,date_parse_failed,float64,
pepe0x69onbase,date_parse_failed,float64,
pepebrc,date_parse_failed,object,
pepecoinnetwork,date_parse_failed,float64,
pepekrc20,date_parse_failed,float64,
phnix,date_parse_failed,float64,
piggy2,date_parse_failed,float64,
pigu,date_parse_failed,float64,
pikatopiko,date_parse_failed,float64,
pineapplecat2,date_parse_failed,float64,
pip3,date_parse_failed,float64,
pizabrc,date_parse_failed,float64,
podflowaibyvirtuals,date_parse_failed,float64,
points2,date_parse_failed,float64,
poncho,date_parse_failed,float64,
pongo2,date_parse_failed,float64,
poveldurev,date_parse_failed,float64,
pozocoin,date_parse_failed,float64,
pumpcorn,date_parse_failed,float64,
puss,date_parse_failed,float64,
queenpooie,date_parse_failed,float64,
realgoat,date_parse_failed,float64,
redactedgdupi,date_parse_failed,float64,
resistancedog,date_parse_failed,float64,
rondaonsui,date_parse_failed,float64,
runesxbitcoin,date_parse_failed,float64,
russell,date_parse_failed,float64,
sacabam,date_parse_failed,float64,
salute,date_parse_failed,float64,
satoshai,date_parse_failed,float64,
satoshiaiagentbyvirtuals,date_parse_failed,float64,
sealdog,date_parse_failed,float64,
seiyan,date_parse_failed,float64,
shishacoin,date_parse_failed,float64,
shitcats,date_parse_failed,float64,
shork,date_parse_failed,float64,
sigma3,date_parse_failed,float64,
skimaskcat,date_parse_failed,float64,
skimaskdog,date_parse_failed,float64,
skimaskpepe,date_parse_failed,float64,
skullofpepetoken,date_parse_failed,object,
snailbrook,date_parse_failed,float64,
sonicsnipebot,date_parse_failed,float64,
spacebucks,date_parse_failed,object,
spice2,date_parse_failed,float64,
sroomaidao,date_parse_failed,float64,
starknetbrother,date_parse_failed,float64,
sugarboy,date_parse_failed,float64,
sugarbush,date_parse_failed,float64,
suibainu,date_parse_failed,float64,
suicuneonsui,date_parse_failed,float64,
suicytheseal,date_parse_failed,float64,
suijak,date_parse_failed,float64,
suiman,date_parse_failed,object,
suinami,date_parse_failed,float64,
sumi,date_parse_failed,float64,
suncat,date_parse_failed,float64,
sundog,date_parse_failed,object,
sunwukong,date_parse_failed,float64,
superanon,date_parse_failed,float64,
supersuiyan,date_parse_failed,float64,
sympsonai,date_parse_failed,float64,
synthesizerdog,date_parse_failed,float64,
tadpole,date_parse_failed,float64,
tardi,date_parse_failed,float64,
teddybear,date_parse_failed,float64,
thedogeson,date_parse_failed,float64,
theresistancecat,date_parse_failed,float64,
thisismyiguana,date_parse_failed,float64,
