analysis_item,count_or_flag,mean_or_rate,median_or_detail
candidate_token_sheets,1273.0,0.0,0.0
valid_schema_sheets,1273.0,0.0,0.0
date_parse_valid_sheets,993.0,0.0,0.0
eligible_sheets,894.0,0.0,0.0
selected_modelling_tokens,50.0,0.0,0.0
evaluated_tokens,50.0,0.0,0.0
dead_short_history_invalid_date_excluded,379.0,0.0,0.0
mean_row_count_eligible_non_selected,0.0,0.0,0.0
mean_row_count_selected,65.38775510204081,0.0,0.0
median_row_count_eligible_non_selected,0.0,0.0,0.0
median_row_count_selected,74.0,0.0,0.0
selected_tokens_have_longer_histories,0.0,0.0,0.0
missingness_rate_before_filtering,0.0,0.08742028545399333,0.0
survivorship_bias_warning,1.0,0.0,0.0
